wage,wage_hat,wage_uhat,female,educ,meduc,meducf,exper,tenure,nonwhite,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,exper2,college1,college2,male,lwage2,l2wage,educ2,feduc,xxx
10.92,5.59145927429199,5.32854080200195,0,12,12.5627374649048,12.7883214950562,34,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.39059591293335,1156,0,0,1,4.7811918258667,3.08374309539795,24,0,-12
15,6.67417812347412,8.32582187652588,0,14,12.5627374649048,12.7883214950562,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.70805025100708,49,0,0,1,5.41610050201416,3.40119743347168,28,0,-14
3.25,3.96738171577454,-0.717381656169891,0,9,12.5627374649048,12.7883214950562,29,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1786550283432,841,0,0,1,2.3573100566864,1.8718022108078,18,0,-9
10,5.59145927429199,4.40854072570801,0,12,12.5627374649048,12.7883214950562,24,24,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2.30258512496948,576,0,0,1,4.60517024993897,2.99573230743408,24,0,-12
6.45,5.59145927429199,0.858540594577789,0,12,12.5627374649048,12.7883214950562,7,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.86408007144928,49,0,0,1,3.72816014289856,2.55722737312317,24,0,-12
11.9,6.13281869888306,5.76718139648438,0,13,12.5627374649048,12.7883214950562,24,19,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,2.47653841972351,576,0,0,1,4.95307683944702,3.16968560218811,26,0,-13
8.48,5.59145927429199,2.88854050636292,0,12,12.5627374649048,12.7883214950562,29,13,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.13771033287048,841,0,0,1,4.27542066574097,2.83085751533508,24,0,-12
3.58,5.59145927429199,-2.01145935058594,0,12,12.5627374649048,12.7883214950562,13,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.27536284923553,169,0,0,1,2.55072569847107,1.96851003170013,24,0,-12
4.5,7.75689649581909,-3.25689649581909,0,16,12.5627374649048,12.7883214950562,21,10,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1.5040774345398,441,1,1,1,3.00815486907959,2.19722461700439,32,0,-16
3.25,7.21553707122803,-3.96553730964661,0,15,12.5627374649048,12.7883214950562,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1786550283432,9,0,0,1,2.3573100566864,1.8718022108078,30,0,-15
3.37,5.05010032653809,-1.68010020256042,0,11,12.5627374649048,12.7883214950562,45,12,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.21491277217865,2025,0,0,1,2.4298255443573,1.90805995464325,22,0,-11
5,5.59145927429199,-0.591459453105927,0,12,12.5627374649048,12.7883214950562,15,5,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.60943794250488,225,0,0,1,3.21887588500977,2.30258512496948,24,0,-12
7.25,5.59145927429199,1.65854060649872,0,12,12.5627374649048,12.7883214950562,14,5,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1.981001496315,196,0,0,1,3.96200299263001,2.67414855957031,24,0,-12
12.5,8.83961486816406,3.66038513183594,0,18,12.5627374649048,12.7883214950562,6,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2.52572870254517,36,1,1,1,5.05145740509033,3.21887588500977,36,0,-18
8,6.13281869888306,1.86718130111694,0,13,12.5627374649048,12.7883214950562,28,5,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2.0794415473938,784,0,0,1,4.1588830947876,2.7725887298584,26,0,-13
5.43,6.67417812347412,-1.24417793750763,0,14,12.5627374649048,12.7883214950562,10,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1.69193911552429,100,0,0,1,3.38387823104858,2.38508629798889,28,0,-14
7.9,5.59145927429199,2.30854058265686,0,12,12.5627374649048,12.7883214950562,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2.06686282157898,4,0,0,1,4.13372564315796,2.76001000404358,24,0,-12
3,5.05010032653809,-2.05010008811951,0,11,12.5627374649048,12.7883214950562,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0986123085022,4,0,0,1,2.19722461700439,1.7917594909668,22,0,-11
6.25,5.59145927429199,0.658540546894074,0,12,12.5627374649048,12.7883214950562,21,6,0,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1.83258152008057,441,0,0,1,3.66516304016113,2.52572870254517,24,0,-12
10,5.59145927429199,4.40854072570801,0,12,12.5627374649048,12.7883214950562,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2.30258512496948,225,0,0,1,4.60517024993897,2.99573230743408,24,0,-12
4.38,6.13281869888306,-1.75281870365143,0,13,12.5627374649048,12.7883214950562,7,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1.47704875469208,49,0,0,1,2.95409750938416,2.17019581794739,26,0,-13
2.23,3.42602229118347,-1.19602239131928,0,8,12.5627374649048,12.7883214950562,28,3,0,1,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0.802001595497131,784,0,0,1,1.60400319099426,1.49514877796173,16,0,-8
1.67,4.50874090194702,-2.83874082565308,0,10,12.5627374649048,12.7883214950562,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.512823641300201,1,0,0,1,1.0256472826004,1.20597076416016,20,0,-10
4.44,5.59145927429199,-1.15145945549011,0,12,12.5627374649048,12.7883214950562,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.49065434932709,9,0,0,1,2.98130869865418,2.18380165100098,24,0,-12
3,7.21553707122803,-4.21553707122803,0,15,12.5627374649048,12.7883214950562,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.0986123085022,1,0,0,1,2.19722461700439,1.7917594909668,30,0,-15
13.33,5.59145927429199,7.73854064941406,0,12,12.5627374649048,12.7883214950562,14,11,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,2.59001708030701,196,0,0,1,5.18003416061401,3.28316426277161,24,0,-12
3.76,2.3433039188385,1.41669607162476,0,6,12.5627374649048,12.7883214950562,6,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1.32441890239716,36,0,0,1,2.64883780479431,2.01756620407105,12,0,-6
24.98,8.83961486816406,16.1403846740723,0,18,12.5627374649048,12.7883214950562,29,25,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.21807551383972,841,1,1,1,6.43615102767944,3.91122269630432,36,0,-18
2.38,3.96738171577454,-1.58738160133362,0,9,12.5627374649048,12.7883214950562,5,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0.867100477218628,25,0,0,1,1.73420095443726,1.56024765968323,18,0,-9
4.5,5.59145927429199,-1.09145939350128,0,12,12.5627374649048,12.7883214950562,12,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1.5040774345398,144,0,0,1,3.00815486907959,2.19722461700439,24,0,-12
7.36,3.42602229118347,3.93397760391235,0,8,12.5627374649048,12.7883214950562,36,24,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1.99605989456177,1296,0,0,1,3.99211978912354,2.68920707702637,16,0,-8
6,6.67417812347412,-0.674177944660187,0,14,12.5627374649048,12.7883214950562,11,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.7917594909668,121,0,0,1,3.58351898193359,2.4849066734314,28,0,-14
8.75,6.67417812347412,2.07582211494446,0,14,12.5627374649048,12.7883214950562,9,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2.16905379295349,81,0,0,1,4.33810758590698,2.86220097541809,28,0,-14
6.5,5.59145927429199,0.908540546894074,0,12,12.5627374649048,12.7883214950562,20,14,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1.8718022108078,400,0,0,1,3.7436044216156,2.56494927406311,24,0,-12
3.29,6.67417812347412,-3.38417792320251,0,14,12.5627374649048,12.7883214950562,30,13,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.19088757038116,900,0,0,1,2.38177514076233,1.88403475284576,28,0,-14
5.77,4.50874090194702,1.26125907897949,0,10,12.5627374649048,12.7883214950562,44,3,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.75267207622528,1936,0,0,1,3.50534415245056,2.44581937789917,20,0,-10
9.3,7.21553707122803,2.08446288108826,0,15,12.5627374649048,12.7883214950562,2,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2.23001432418823,4,0,0,1,4.46002864837647,2.92316150665283,30,0,-15
10,5.59145927429199,4.40854072570801,0,12,12.5627374649048,12.7883214950562,29,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2.30258512496948,841,0,0,1,4.60517024993897,2.99573230743408,24,0,-12
5.25,5.05010032653809,0.199899822473526,0,11,12.5627374649048,12.7883214950562,13,11,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1.65822803974152,169,0,0,1,3.31645607948303,2.35137534141541,22,0,-11
6,7.75689649581909,-1.75689649581909,0,16,12.5627374649048,12.7883214950562,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.7917594909668,4,1,1,1,3.58351898193359,2.4849066734314,32,0,-16
6,5.59145927429199,0.408540576696396,0,12,12.5627374649048,12.7883214950562,22,8,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1.7917594909668,484,0,0,1,3.58351898193359,2.4849066734314,24,0,-12
5,5.05010032653809,-0.0501001700758934,0,11,12.5627374649048,12.7883214950562,13,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.60943794250488,169,0,0,1,3.21887588500977,2.30258512496948,22,0,-11
20,5.59145927429199,14.408540725708,0,12,12.5627374649048,12.7883214950562,22,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2.99573230743408,484,0,0,1,5.99146461486816,3.68887948989868,24,0,-12
3.5,6.13281869888306,-2.63281869888306,0,13,12.5627374649048,12.7883214950562,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1.25276291370392,1,0,0,1,2.50552582740784,1.94591009616852,26,0,-13
7,5.59145927429199,1.40854060649872,0,12,12.5627374649048,12.7883214950562,6,5,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.94591009616852,36,0,0,1,3.89182019233704,2.63905739784241,24,0,-12
4.65,7.75689649581909,-3.10689640045166,0,16,12.5627374649048,12.7883214950562,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.53686726093292,9,1,1,1,3.07373452186584,2.23001432418823,32,0,-16
4.5,6.67417812347412,-2.17417788505554,0,14,12.5627374649048,12.7883214950562,10,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1.5040774345398,100,0,0,1,3.00815486907959,2.19722461700439,28,0,-14
18.18,8.29825592041016,9.88174438476563,0,17,12.5627374649048,12.7883214950562,22,21,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.9003221988678,484,1,1,1,5.8006443977356,3.5934693813324,34,0,-17
18.16,7.75689649581909,10.4031038284302,0,16,12.5627374649048,12.7883214950562,29,7,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2.89922142028809,841,1,1,1,5.79844284057617,3.59236860275269,32,0,-16
4,4.50874090194702,-0.508740901947022,0,10,12.5627374649048,12.7883214950562,34,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3862943649292,1156,0,0,1,2.7725887298584,2.0794415473938,20,0,-10
4,3.96738171577454,0.0326183438301086,0,9,12.5627374649048,12.7883214950562,22,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.3862943649292,484,0,0,1,2.7725887298584,2.0794415473938,18,0,-9
9.33,6.67417812347412,2.65582203865051,0,14,12.5627374649048,12.7883214950562,12,11,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2.23323512077332,144,0,0,1,4.46647024154663,2.92638230323792,28,0,-14
2.91,5.59145927429199,-2.68145942687988,0,12,12.5627374649048,12.7883214950562,4,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.06815302371979,16,0,0,1,2.13630604743958,1.76130020618439,24,0,-12
9,5.59145927429199,3.40854048728943,0,12,12.5627374649048,12.7883214950562,38,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.19722461700439,1444,0,0,1,4.39444923400879,2.89037179946899,24,0,-12
4.69,4.50874090194702,0.181259080767632,0,10,12.5627374649048,12.7883214950562,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.54543256759644,49,0,0,1,3.09086513519287,2.23857975006104,20,0,-10
7.26,6.13281869888306,1.1271812915802,0,13,12.5627374649048,12.7883214950562,8,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.98237979412079,64,0,0,1,3.96475958824158,2.67552709579468,26,0,-13
6.25,5.05010032653809,1.1998997926712,0,11,12.5627374649048,12.7883214950562,35,31,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.83258152008057,1225,0,0,1,3.66516304016113,2.52572870254517,22,0,-11
6.25,2.88466310501099,3.36533689498901,0,7,12.5627374649048,12.7883214950562,39,21,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.83258152008057,1521,0,0,1,3.66516304016113,2.52572870254517,14,0,-7
9.8,8.29825592041016,1.50174427032471,0,17,12.5627374649048,12.7883214950562,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2.28238248825073,49,1,1,1,4.56476497650147,2.97552967071533,34,0,-17
11.56,7.75689649581909,3.80310344696045,0,16,12.5627374649048,12.7883214950562,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.44755077362061,25,1,1,1,4.89510154724121,3.14069795608521,32,0,-16
3.2,5.05010032653809,-1.85010015964508,0,11,12.5627374649048,12.7883214950562,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.16315078735352,1,0,0,1,2.32630157470703,1.85629796981812,22,0,-11
5,5.05010032653809,-0.0501001700758934,0,11,12.5627374649048,12.7883214950562,24,5,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.60943794250488,576,0,0,1,3.21887588500977,2.30258512496948,22,0,-11
15.38,6.13281869888306,9.2471809387207,0,13,12.5627374649048,12.7883214950562,25,21,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,2.73306798934937,625,0,0,1,5.46613597869873,3.42621517181397,26,0,-13
8.64,5.59145927429199,3.0485405921936,0,12,12.5627374649048,12.7883214950562,28,8,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.15640258789063,784,0,0,1,4.31280517578125,2.84954977035522,24,0,-12
4.75,6.13281869888306,-1.38281869888306,0,13,12.5627374649048,12.7883214950562,47,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.55814456939697,2209,0,0,1,3.11628913879395,2.25129175186157,26,0,-13
3,7.21553707122803,-4.21553707122803,0,15,12.5627374649048,12.7883214950562,9,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0986123085022,81,0,0,1,2.19722461700439,1.7917594909668,30,0,-15
7.5,6.67417812347412,0.825822055339813,0,14,12.5627374649048,12.7883214950562,29,24,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2.01490306854248,841,0,0,1,4.02980613708496,2.70805025100708,28,0,-14
6.33,5.59145927429199,0.738540589809418,0,12,12.5627374649048,12.7883214950562,23,8,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1.84530019760132,529,0,0,1,3.69060039520264,2.53844738006592,24,0,-12
9.13,5.59145927429199,3.53854060173035,0,12,12.5627374649048,12.7883214950562,14,12,0,1,3,1,0,1,0,0,1,0,0,0,0,1,0,0,2.21156573295593,196,0,0,1,4.42313146591187,2.90471291542053,24,0,-12
12.5,8.29825592041016,4.20174407958984,0,17,12.5627374649048,12.7883214950562,21,18,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2.52572870254517,441,1,1,1,5.05145740509033,3.21887588500977,34,0,-17
5.2,2.3433039188385,2.85669612884522,0,6,12.5627374649048,12.7883214950562,47,13,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1.64865863323212,2209,0,0,1,3.29731726646423,2.34180569648743,12,0,-6
6.8,5.59145927429199,1.208540558815,0,12,12.5627374649048,12.7883214950562,14,10,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1.9169225692749,196,0,0,1,3.8338451385498,2.6100697517395,24,0,-12
21.86,5.59145927429199,16.2685413360596,0,12,12.5627374649048,12.7883214950562,24,16,0,1,3,1,1,0,0,0,0,0,1,0,0,1,0,0,3.08465838432312,576,0,0,1,6.16931676864624,3.77780556678772,24,0,-12
4.25,6.67417812347412,-2.42417788505554,0,14,12.5627374649048,12.7883214950562,5,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1.44691896438599,25,0,0,1,2.89383792877197,2.14006614685059,28,0,-14
6.29,8.29825592041016,-2.00825572013855,0,17,12.5627374649048,12.7883214950562,10,3,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1.83896112442017,100,1,1,1,3.67792224884033,2.53210830688477,34,0,-17
4.5,3.96738171577454,0.532618343830109,0,9,12.5627374649048,12.7883214950562,22,5,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5040774345398,484,0,0,1,3.00815486907959,2.19722461700439,18,0,-9
6.36,6.67417812347412,-0.314177930355072,0,14,12.5627374649048,12.7883214950562,8,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.85002839565277,64,0,0,1,3.70005679130554,2.54317545890808,28,0,-14
5.25,4.50874090194702,0.741259098052979,0,10,12.5627374649048,12.7883214950562,44,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.65822803974152,1936,0,0,1,3.31645607948303,2.35137534141541,20,0,-10
4.11,6.67417812347412,-2.56417798995972,0,14,12.5627374649048,12.7883214950562,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.41342306137085,25,0,0,1,2.8268461227417,2.10657024383545,28,0,-14
8.53,4.50874090194702,4.02125930786133,0,10,12.5627374649048,12.7883214950562,14,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.14358925819397,196,0,0,1,4.28717851638794,2.83673644065857,20,0,-10
3.13,4.50874090194702,-1.37874090671539,0,10,12.5627374649048,12.7883214950562,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1.14103305339813,1,0,0,1,2.28206610679626,1.83418023586273,20,0,-10
10,6.67417812347412,3.32582211494446,0,14,12.5627374649048,12.7883214950562,18,5,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2.30258512496948,324,0,0,1,4.60517024993897,2.99573230743408,28,0,-14
6.5,8.29825592041016,-1.79825568199158,0,17,12.5627374649048,12.7883214950562,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.8718022108078,9,1,1,1,3.7436044216156,2.56494927406311,34,0,-17
6.67,5.59145927429199,1.07854056358337,0,12,12.5627374649048,12.7883214950562,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.89761984348297,49,0,0,1,3.79523968696594,2.59076714515686,24,0,-12
8.63,5.59145927429199,3.03854060173035,0,12,12.5627374649048,12.7883214950562,23,9,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.15524458885193,529,0,0,1,4.31048917770386,2.84839177131653,24,0,-12
6,5.59145927429199,0.408540576696396,0,12,12.5627374649048,12.7883214950562,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7917594909668,49,0,0,1,3.58351898193359,2.4849066734314,24,0,-12
13,6.67417812347412,6.32582187652588,0,14,12.5627374649048,12.7883214950562,23,5,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.56494927406311,529,0,0,1,5.12989854812622,3.25809645652771,28,0,-14
12.22,7.75689649581909,4.46310377120972,0,16,12.5627374649048,12.7883214950562,10,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2.50307393074036,100,1,1,1,5.00614786148071,3.19622111320496,32,0,-16
12.5,7.75689649581909,4.74310350418091,0,16,12.5627374649048,12.7883214950562,31,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.52572870254517,961,1,1,1,5.05145740509033,3.21887588500977,32,0,-16
2.91,5.05010032653809,-2.1401002407074,0,11,12.5627374649048,12.7883214950562,2,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1.06815302371979,4,0,0,1,2.13630604743958,1.76130020618439,22,0,-11
11.98,8.83961486816406,3.14038491249084,0,18,12.5627374649048,12.7883214950562,8,10,0,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,2.483238697052,64,1,1,1,4.966477394104,3.1763858795166,36,0,-18
3.5,6.13281869888306,-2.63281869888306,0,13,12.5627374649048,12.7883214950562,1,2,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1.25276291370392,1,0,0,1,2.50552582740784,1.94591009616852,26,0,-13
5,6.67417812347412,-1.67417800426483,0,14,12.5627374649048,12.7883214950562,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1.60943794250488,25,0,0,1,3.21887588500977,2.30258512496948,28,0,-14
3,3.42602229118347,-0.426022410392761,0,8,12.5627374649048,12.7883214950562,33,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0986123085022,1089,0,0,1,2.19722461700439,1.7917594909668,16,0,-8
18.16,7.75689649581909,10.4031038284302,0,16,12.5627374649048,12.7883214950562,35,28,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,2.89922142028809,1225,1,1,1,5.79844284057617,3.59236860275269,32,0,-16
12.5,8.83961486816406,3.66038513183594,0,18,12.5627374649048,12.7883214950562,16,5,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2.52572870254517,256,1,1,1,5.05145740509033,3.21887588500977,36,0,-18
8.33,7.21553707122803,1.11446285247803,0,15,12.5627374649048,12.7883214950562,33,26,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2.11986351013184,1089,0,0,1,4.23972702026367,2.81301069259644,30,0,-15
13.95,7.75689649581909,6.19310331344605,0,16,12.5627374649048,12.7883214950562,41,16,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.63547945022583,1681,1,1,1,5.27095890045166,3.32862663269043,32,0,-16
3.51,1.26058530807495,2.24941468238831,0,4,12.5627374649048,12.7883214950562,39,15,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1.25561606884003,1521,0,0,1,2.51123213768005,1.94876325130463,8,0,-4
4.24,4.50874090194702,-0.268740922212601,0,10,12.5627374649048,12.7883214950562,14,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1.44456326961517,196,0,0,1,2.88912653923035,2.13771033287048,20,0,-10
2.83,4.50874090194702,-1.67874085903168,0,10,12.5627374649048,12.7883214950562,1,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1.04027676582336,1,0,0,1,2.08055353164673,1.73342394828796,20,0,-10
6,6.13281869888306,-0.132818683981895,0,13,12.5627374649048,12.7883214950562,21,13,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1.7917594909668,441,0,0,1,3.58351898193359,2.4849066734314,26,0,-13
2.95,5.59145927429199,-2.64145946502686,0,12,12.5627374649048,12.7883214950562,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.08180522918701,9,0,0,1,2.16361045837402,1.77495229244232,24,0,-12
